test,level,run,segment,marker,mode,comparison_role,geometry,n_samples,vt_rmse_3d_cm,visual_dispersion_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg,vk_rmse_3d_cm
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,1,6,attitude_run_centered,compared,Opposing vertical surfaces,162,3.70360125299189,3.15789776932009,2.70393618435318,2.66334613819488,5.28085309125078,3.35518462160904
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,2,7,original_static,compared,Opposing vertical surfaces,111,3.80387785742438,3.310087984171,1.9836273321687,1.98135190874338,3.12249286084182,3.11935160231773
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,2,7,attitude_absolute,compared,Opposing vertical surfaces,111,3.20185423641102,2.62506793589613,1.9836273321687,1.98135190874338,3.12249286084182,2.91999175949536
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,2,7,attitude_run_centered,compared,Opposing vertical surfaces,111,3.23269309915456,2.62535664122222,1.9836273321687,1.98135190874338,3.12249286084182,2.94665564784329
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,3,8,original_static,reference,Opening toward M9,170,4.2604073334086,4.01657206183127,2.9628919686312,2.93436113334525,5.37028850271305,3.13952805123343
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,3,8,attitude_absolute,reference,Opening toward M9,170,3.49276417493263,3.31710545066519,2.9628919686312,2.93436113334525,5.37028850271305,2.41776615356698
QR_motioncap_brushless_Light_mid_NoWind_test4,mid,4,3,8,attitude_run_centered,reference,Opening toward M9,170,3.57862551208529,3.31631276198838,2.9628919686312,2.93436113334525,5.37028850271305,2.52070265357571
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,1,6,original_static,compared,Opposing vertical surfaces,196,4.44346151436459,4.04028719253291,3.77324628609066,3.68957611586961,4.09325037124626,3.21348412270934
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,1,6,attitude_absolute,compared,Opposing vertical surfaces,196,4.33724272543757,3.88102910534089,3.77324628609066,3.68957611586961,4.09325037124626,2.87898423522373
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,1,6,attitude_run_centered,compared,Opposing vertical surfaces,196,4.3138559035787,3.88095898490745,3.77324628609066,3.68957611586961,4.09325037124626,2.86340636472404
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,2,7,original_static,compared,Opposing vertical surfaces,118,4.78966072441987,4.24064663666209,2.13845863484196,2.12226232459362,6.09704096081492,4.21905020065759
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,2,7,attitude_absolute,compared,Opposing vertical surfaces,118,3.24116140156605,2.53503127744923,2.13845863484196,2.12226232459362,6.09704096081492,3.31735361476911
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,2,7,attitude_run_centered,compared,Opposing vertical surfaces,118,3.24962094676638,2.53571710442567,2.13845863484196,2.12226232459362,6.09704096081492,3.32119921066465
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,3,8,original_static,reference,Opening toward M9,171,4.72903296354191,4.62857402283923,3.18735595714552,3.16466134318996,6.63343704800881,3.67100098794558
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,3,8,attitude_absolute,reference,Opening toward M9,171,3.32730292348167,3.18253711631288,3.18735595714552,3.16466134318996,6.63343704800881,2.39449229816414
QR_motioncap_brushless_Light_mid_NoWind_test5,mid,5,3,8,attitude_run_centered,reference,Opening toward M9,171,3.27745115723865,3.18289453108877,3.18735595714552,3.16466134318996,6.63343704800881,2.35776752679777
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,1,1,original_static,reference,Open-side locations,180,5.86579467204378,4.21767344101023,2.32653768648538,2.1424901023912,5.87431755940561,4.82357946347588
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,1,1,attitude_absolute,reference,Open-side locations,180,4.71297352293036,2.11572115953261,2.32653768648538,2.1424901023912,5.87431755940561,3.8861017272805
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,1,1,attitude_run_centered,reference,Open-side locations,180,5.19639381422643,2.11706744849641,2.32653768648538,2.1424901023912,5.87431755940561,4.40021135445956
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,2,2,original_static,compared,Upper and lower boundaries,173,6.09087245447404,4.79081325139237,2.67028132035065,2.63236397845847,6.76789791830606,4.98799288330824
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,2,2,attitude_absolute,compared,Upper and lower boundaries,173,5.52271424008047,3.11209720887016,2.67028132035065,2.63236397845847,6.76789791830606,4.76464639608206
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,2,2,attitude_run_centered,compared,Upper and lower boundaries,173,6.0429047395112,3.11080654892954,2.67028132035065,2.63236397845847,6.76789791830606,5.3147346072962
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,3,3,original_static,reference,Open-side locations,168,7.33321652680683,5.32970230265306,3.71146273664804,3.08886346467623,8.42353273182859,6.60304761576461
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,3,3,attitude_absolute,reference,Open-side locations,168,5.39028188858574,3.23484873352008,3.71146273664804,3.08886346467623,8.42353273182859,4.53239600986038
QR_motioncap_brushless_Light_top_NoWind_test1,top,1,3,3,attitude_run_centered,reference,Open-side locations,168,5.87472542255182,3.23513462572581,3.71146273664804,3.08886346467623,8.42353273182859,5.0831019266394
