test,route,run,marker,gap_id,first_unboxed_frame_0,last_unboxed_frame_0,unboxed_frames,preceding_detection_time,following_detection_time
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,3,267,267,1,1766442354.53,1766442354.83
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,4,270,270,1,1766442354.97,1766442355.26
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,5,298,298,1,1766442359.0,1766442359.29
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,6,313,315,3,1766442361.16,1766442361.73
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,7,318,318,1,1766442361.87,1766442362.16
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,8,346,346,1,1766442365.9,1766442366.19
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,9,371,371,1,1766442369.64,1766442369.94
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M6,10,389,389,1,1766442372.23,1766442372.52
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,1,561,561,1,1766442397.16,1766442397.44
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,2,563,569,7,1766442397.44,1766442398.59
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,3,571,574,4,1766442398.59,1766442399.31
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,4,578,586,9,1766442399.6,1766442401.05
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,5,598,598,1,1766442402.48,1766442402.77
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,6,603,604,2,1766442403.21,1766442403.64
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,7,616,617,2,1766442405.08,1766442405.51
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,8,619,620,2,1766442405.51,1766442405.94
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,9,622,622,1,1766442405.94,1766442406.23
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,10,632,632,1,1766442407.55,1766442407.96
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,11,634,642,9,1766442407.96,1766442409.42
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,12,654,654,1,1766442410.84,1766442411.13
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,13,663,663,1,1766442412.14,1766442412.43
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,14,673,673,1,1766442413.58,1766442413.87
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,15,676,676,1,1766442414.02,1766442414.3
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,16,680,680,1,1766442414.59,1766442414.88
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,17,682,682,1,1766442414.88,1766442415.17
