shift_s,mode,route,metric,compared_mean,reference_mean,mean_difference,sd_difference,positive_flights,min_difference
-0.1,attitude_absolute,bot,rpy_std_deg,4.73503089755754,4.06772420095538,0.667306696602165,0.295301713295124,5,0.255244597176611
-0.1,attitude_absolute,mid,vt_rmse_3d_cm,3.60219605933075,3.4574485545568,0.144747504773952,0.358760400761608,3,-0.199120433781514
-0.1,attitude_absolute,mid,visual_dispersion_3d_cm,3.07100156987825,3.3156366187465,-0.244635048868241,0.362859542078564,1,-0.658662540980722
-0.1,attitude_absolute,mid,vk_rmse_3d_cm,3.18357551543536,2.27212825817584,0.911447257259514,0.306329988308295,5,0.704204218074485
-0.1,attitude_absolute,mid,kt_rmse_3d_cm,2.55479276176817,2.96580929437465,-0.411016532606486,0.36402981145164,1,-0.785113589062196
-0.1,attitude_absolute,mid,kalman_pos_std_3d_cm,2.49658784251447,2.92697263238259,-0.430384789868123,0.380240278953183,1,-0.844861812453692
-0.1,attitude_absolute,mid,rpy_std_deg,4.70935830334038,6.44849327309845,-1.73913496975806,0.892598340370175,0,-3.16545833529333
-0.1,attitude_absolute,top,vt_rmse_3d_cm,4.50351197853447,3.5559097647532,0.947602213781269,0.266352489567981,5,0.603111356136947
-0.1,attitude_absolute,top,visual_dispersion_3d_cm,3.62320350967149,2.11598939332058,1.50721411635091,0.328202982163566,5,1.14226176220506
-0.1,attitude_absolute,top,vk_rmse_3d_cm,3.68825144096393,2.8332308899426,0.855020551021327,0.162273650661405,5,0.717075287798762
-0.1,attitude_absolute,top,kt_rmse_3d_cm,3.23579409192932,2.36867793314162,0.867116158787696,0.30463114784357,5,0.57639986461511
-0.1,attitude_absolute,top,kalman_pos_std_3d_cm,3.22025543072141,2.04958459624403,1.17067083447739,0.338497980191312,5,0.831550155564787
-0.1,attitude_absolute,top,rpy_std_deg,8.97804511535484,4.88147751167864,4.0965676036762,0.981407478239622,5,2.63047917277654
-0.1,attitude_run_centered,bot,vt_rmse_3d_cm,4.22755477735038,3.71081783554902,0.516736941801356,0.25200632282369,5,0.221240653257519
-0.1,attitude_run_centered,bot,visual_dispersion_3d_cm,3.02806963639794,2.57084219341964,0.457227442978299,0.295515471928121,5,0.145908861403502
-0.1,attitude_run_centered,bot,vk_rmse_3d_cm,3.44341197482776,3.0699290397025,0.373482935125255,0.357819222770452,5,0.00372354355758953
-0.1,attitude_run_centered,bot,kt_rmse_3d_cm,2.95702624665746,2.5197611782793,0.437265068378155,0.377547324051867,4,-0.00167561628803714
-0.1,attitude_run_centered,bot,kalman_pos_std_3d_cm,2.75293285175137,2.33508849172856,0.417844360022814,0.418452566600671,4,-0.0797257637748103
-0.1,attitude_run_centered,bot,rpy_std_deg,4.73503089755754,4.06772420095538,0.667306696602165,0.295301713295124,5,0.255244597176611
-0.1,attitude_run_centered,mid,vt_rmse_3d_cm,3.5971911301684,3.44613430835781,0.151056821810593,0.387784433650458,2,-0.198627509482872
-0.1,attitude_run_centered,mid,visual_dispersion_3d_cm,3.07094343850063,3.3160444995756,-0.245101061074963,0.362749375713009,1,-0.65882499965956
-0.1,attitude_run_centered,mid,vk_rmse_3d_cm,3.17690775432349,2.2515427413257,0.925365012997796,0.33830456944688,5,0.716791723654948
-0.1,attitude_run_centered,mid,kt_rmse_3d_cm,2.55479276176817,2.96580929437465,-0.411016532606486,0.36402981145164,1,-0.785113589062196
-0.1,attitude_run_centered,mid,kalman_pos_std_3d_cm,2.49658784251447,2.92697263238259,-0.430384789868123,0.380240278953183,1,-0.844861812453692
-0.1,attitude_run_centered,mid,rpy_std_deg,4.70935830334038,6.44849327309845,-1.73913496975806,0.892598340370175,0,-3.16545833529333
-0.1,attitude_run_centered,top,vt_rmse_3d_cm,4.65330175479875,3.71972273952513,0.933579015273617,0.276554798299862,5,0.575165418041101
-0.1,attitude_run_centered,top,visual_dispersion_3d_cm,3.62297887123193,2.11593211011718,1.50704676111475,0.328670192907697,5,1.14119491666676
-0.1,attitude_run_centered,top,vk_rmse_3d_cm,3.84624223538947,3.0070592397158,0.839182995673671,0.158295581836385,5,0.69466572536107
-0.1,attitude_run_centered,top,kt_rmse_3d_cm,3.23579409192932,2.36867793314162,0.867116158787696,0.30463114784357,5,0.57639986461511
