shift_s,mode,route,test,metric,difference
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,vk_rmse_3d_cm,1.02227527402472
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,vk_rmse_3d_cm,0.89088156963613
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,kt_rmse_3d_cm,0.54932749295304
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,kt_rmse_3d_cm,0.645998409388812
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,kt_rmse_3d_cm,1.00462545092275
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,kt_rmse_3d_cm,1.28124153375782
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,kt_rmse_3d_cm,0.728405700048507
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,kalman_pos_std_3d_cm,0.802764637471293
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,kalman_pos_std_3d_cm,0.982783235109199
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,kalman_pos_std_3d_cm,1.35375548845828
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,kalman_pos_std_3d_cm,1.62612619496355
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,kalman_pos_std_3d_cm,0.965880404199876
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test1,rpy_std_deg,2.61820410871576
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test2,rpy_std_deg,4.90290401835648
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test3,rpy_std_deg,4.62686733016188
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test4,rpy_std_deg,4.79289684831312
-0.2,attitude_run_centered,top,QR_motioncap_brushless_Light_top_NoWind_test5,rpy_std_deg,3.55881706747079
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vt_rmse_3d_cm,1.35093665573243
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vt_rmse_3d_cm,0.60527148755289
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vt_rmse_3d_cm,0.395924085449236
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vt_rmse_3d_cm,0.508158206593469
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vt_rmse_3d_cm,0.397382848841543
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,visual_dispersion_3d_cm,0.699647315684498
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,visual_dispersion_3d_cm,0.73300504876721
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,visual_dispersion_3d_cm,0.314801654244595
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,visual_dispersion_3d_cm,0.574206464719778
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,visual_dispersion_3d_cm,0.564153324751435
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,vk_rmse_3d_cm,1.22126066203365
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,vk_rmse_3d_cm,0.234038960455272
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,vk_rmse_3d_cm,0.499878871735843
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,vk_rmse_3d_cm,0.0524989769856226
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,vk_rmse_3d_cm,0.443828860935637
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,kt_rmse_3d_cm,0.268026275055508
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,kt_rmse_3d_cm,0.663615666994075
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,kt_rmse_3d_cm,0.0358329741136059
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,kt_rmse_3d_cm,0.296052067614021
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,kt_rmse_3d_cm,0.96845834433766
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,kalman_pos_std_3d_cm,0.262933667231123
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,kalman_pos_std_3d_cm,0.684936213443042
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,kalman_pos_std_3d_cm,-0.0361257449136403
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,kalman_pos_std_3d_cm,0.231289462932261
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,kalman_pos_std_3d_cm,0.988769473868682
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test1,rpy_std_deg,0.605084070229589
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test2,rpy_std_deg,0.253058052822577
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test3,rpy_std_deg,1.05866658569274
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test4,rpy_std_deg,0.628511081870762
-0.2,original_static,bot,QR_motioncap_brushless_Light_bot_NoWind_test5,rpy_std_deg,0.770779653441815
-0.2,original_static,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,vt_rmse_3d_cm,-0.305122054985915
-0.2,original_static,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,vt_rmse_3d_cm,0.250221729643046
-0.2,original_static,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,vt_rmse_3d_cm,0.279874581667648
-0.2,original_static,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,vt_rmse_3d_cm,0.0076523028921498
-0.2,original_static,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,vt_rmse_3d_cm,-0.112471844149681
