extent_s,mode,route,metric,min_mean,max_mean,min_positive_flights,max_positive_flights,min_individual_difference
0.2,original_static,bot,vt_rmse_3d_cm,0.651534656833915,0.651534656833915,5,5,0.395924085449236
0.2,original_static,mid,kalman_pos_std_3d_cm,-0.578102849836256,-0.389386845130995,0,2,-0.882914715580223
0.2,original_static,mid,kt_rmse_3d_cm,-0.552677226455354,-0.371453116000392,0,2,-0.828914680999012
0.2,original_static,mid,rpy_std_deg,-1.75028482873902,-1.73628975970115,0,0,-3.20145407177398
0.2,original_static,mid,visual_dispersion_3d_cm,-0.322514373599631,-0.322514373599631,0,0,-0.731773828694545
0.2,original_static,mid,vk_rmse_3d_cm,-0.0836018830061676,0.20017520310198,3,4,-0.89372546777998
0.2,original_static,mid,vt_rmse_3d_cm,0.0240309430134496,0.0240309430134496,3,3,-0.305122054985915
0.2,original_static,top,kalman_pos_std_3d_cm,1.14626199204044,1.2425065801747,5,5,0.802764637471293
0.2,original_static,top,kt_rmse_3d_cm,0.841919717414185,0.937715133070757,5,5,0.54932749295304
0.2,original_static,top,rpy_std_deg,4.077992334659,4.09993787460361,5,5,2.61820410871576
0.2,original_static,top,visual_dispersion_3d_cm,2.04665392914509,2.04665392914509,5,5,1.40550763974135
0.2,original_static,top,vk_rmse_3d_cm,1.78670815915584,2.01023175247468,5,5,0.565208682233213
0.2,original_static,top,vt_rmse_3d_cm,1.78267676670681,1.78267676670681,5,5,0.878274031907142
