test,level,run,segment,marker,shift_s,mode,n_samples,n_native_attitude,vt_rmse_3d_cm,visual_dispersion_3d_cm,vk_rmse_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.2,attitude_absolute,169,2508,6.4674940091753,2.86134252029978,6.60486018578032,2.88330854643946,2.69645866703473,5.149747293263
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,2,11,0.2,attitude_run_centered,169,2508,6.4164660404401,2.86138619022469,6.55647545057796,2.88330854643946,2.69645866703473,5.149747293263
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.2,original_static,169,2497,6.72800652535066,3.19482134208073,6.4729755857938,3.22368660725803,3.05283814021913,3.8750381362634
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.2,attitude_absolute,169,2497,7.09142940310692,3.16555070914312,6.87695444513691,3.22368660725803,3.05283814021913,3.8750381362634
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.2,attitude_run_centered,169,2497,7.04010013400456,3.16592401852272,6.82522365665591,3.22368660725803,3.05283814021913,3.8750381362634
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.15,original_static,169,2496,6.72800652535066,3.19482134208073,6.41662976651255,3.24982494803254,3.08102397331366,3.87756245879878
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.15,attitude_absolute,169,2496,7.09763406084827,3.17059818723561,6.82353322860359,3.24982494803254,3.08102397331366,3.87756245879878
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.15,attitude_run_centered,169,2496,7.04631226203931,3.17098661582831,6.77140395429489,3.24982494803254,3.08102397331366,3.87756245879878
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.1,original_static,169,2496,6.72800652535066,3.19482134208073,6.36109892180758,3.23161539814795,3.06427952821181,3.87948846110041
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.1,attitude_absolute,169,2496,7.1047660997462,3.17371800780919,6.77665016284305,3.23161539814795,3.06427952821181,3.87948846110041
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.1,attitude_run_centered,169,2496,7.05343730613813,3.17410942157851,6.72424923160906,3.23161539814795,3.06427952821181,3.87948846110041
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.05,original_static,169,2496,6.72800652535066,3.19482134208073,6.31522293876091,3.21042983383507,3.04302161562809,3.87965291058782
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.05,attitude_absolute,169,2496,7.11047186549485,3.18683823103042,6.73939179338223,3.21042983383507,3.04302161562809,3.87965291058782
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,-0.05,attitude_run_centered,169,2496,7.05919286289842,3.18723027010136,6.68680154731054,3.21042983383507,3.04302161562809,3.87965291058782
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,0,original_static,169,2497,6.72800652535066,3.19482134208073,6.31039261117621,3.22221906307972,3.05495488202156,3.87818387272234
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,3,12,0,attitude_absolute,169,2497,7.10939103076879,3.19105779916575,6.73187429806524,3.22221906307972,3.05495488202156,3.87818387272234
